place_id,name,has_kids_classes,has_women_classes,has_open_mat,drop_in_fee,beginner_friendly,family_friendly,accessible_entrance,speaks_english,speaks_portuguese,offers_gi,offers_no_gi
ChIJRXLy5FTJBZER3lPKDIM2_Gg,A Salvo Autodefensa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJHbWmE0zFBZERzpHMxHI3tJU,ABSOLUTE COMBAT SPORTS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJi6uz63eYBZERB8CC3eo9-xM,ABU-DOJO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJf-tGXyvFBZERcKfPb9ruO40,Academia de artes marciales TEAM BLACK GORILLA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ19FlnzW5BZERqD67s4vRqvk,"Academia de lucha olímpica ""Los tigres""",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJMdRaup_PBZERDM9AVTMzd6w,Academia Punto Maximo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJl7jBoyrPBZER7uggoGyGutA,Academia Sniper Lima Norte,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJeYNwkwnIBZER9ksmHYGbEuw,SNIPER GT MIRAFLORES,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJkXP02G3JBZERHLuIe0SQAHM,Academia Sniper San Miguel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ5fiUf_HHBZERYOsZZA9xFTU,Academia Surco Wrestling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ59fyEPi5BZER8SxRYGoYSio,Academia True Wrestling,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJw5H8H1S4BZER1YkZvEUhdsg,"Academy of Martial Arts ""RAGAZZI""",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJbehiZfDHBZERxD71uXfBsvE,Almeida Jiu Jitsu,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJe8lhM-zJBZERvsFzVLnwZVE,Alpha Wolf - Escuela de artes marciales y deportes de contacto,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJWcjah627BZERr3KaEviXWL4,aranha_smp,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJvxVDJhq5BZERQHmnynp95sg,Art Choke,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJP096eO_RBZERoalEPIOyesI,Arte Suave,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ_ajXUwDJBZERn-ZfOy2Pt4g,ARTEM Fight Studio,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJj0IXpKXFBZERJoi_5KYTcYw,Artes Marciales Mixtas SM,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJQ2fNfwe4BZERh-TrCyDrHOk,Artes Marciales Orion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJlbGtU7_LBZERmVRwOcVZAmg,B13 academy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJf9J7Su7QBZER5OjNsKwQDeI,Berserker Escuela,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJRWJggGTJBZERQY3h-qj4SOc,Black Dragons,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ7SkTjy_vBZERaGwB_oSVhn8,Black House Jiu Jitsu Chosica,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ95fwUFe5BZERNKqeERCzfFI,Blue Fighter,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJBWk2LFfHBZEReyxW8Pzqrnc,Capone Jiu Jitsu and MMA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJVxAkJBXHBZERuJ5Z1IzrEPc,Capone Kids,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJeZn4EQDHBZERK-YhvBUA_nI,CAPONE TEAM © Jiu Jitsu & MMA (sede Salamanca),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJm6XxcgS5BZER8rNsS3pqcIk,Casa Calavera,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJDYJJFte9BZERJbEyFnQ5e9I,Casa Calavera Jose Galvez,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ4TZ_D_PQBZERuXFy_OVaZUU,Centro de Artes Marciales COBRA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJdyuWXifRBZERL7akeaIyRfA,CENTRO DE ARTES MARCIALES GAME FIGHT COMAS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJoX5d-zW3BZERvLanKo27QSY,Chorrillos fight center,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJBwYcZrjFBZERCoxUbCbvnRw,Club de Judo Kyoeikan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJR5qRsOrIBZERjnI90IPBAfk,Club de Judo - Takenori Ito,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJeUrtvNnJBZERNyjbCLzob6k,Club Los Indomables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJY5uxEwDHBZERzW87SSNLl4A,CombatZone,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJQ2RMgsTHBZER5qEcaRKPudY,CONSTRICTOR PERÚ - JIU JITSU & MMA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ2wEqSgLJBZER6Nr2SfsZm_E,Contacto Livre,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ3ZU-A2-5BZERY2-mnwJImBg,Core Jiu Jitsu & Luta Livre Surco,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJH2ACIMDPBZERfhs_s1bpIRM,Core Jiu Jitsu Callao,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ6fWKZTjHBZERsaEjmGjhWx8,DE Training,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ65L-5m7FBZERFuWGrOis81s,Doble A-Team De la Mata,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJUYZHwv65BZERZDLI2FygMwc,DOJO BOYKA FIGHT - ARTES MARCIALES MIXTAS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJcS5KKr_QBZERqHtSYCUJARg,Dojo Hermandad,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJOfOF4ui9BZERNEHtLiFSW_U,Dojo Lurín,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJvXw3qH7JBZERLNp_Vfw8XJo,Dojo Mentesaiko,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJza2soSGjBZERGi_K1jWpiCw,Dojo punta hermosa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ9QBFvzyfBZERfeRaigDBmh8,Dojo San Bartolo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ433FgiDOBZER8YkaGFvLvBw,DRAGON ROJO ESCUELA DE ARTES MARCIALES,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJpbOPHQDPBZERgNhOqhBdNlI,Dream Art Los Olivos,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJkb7L-yPHBZERvMfhofqs9f0,Dream Art Peru-Jiu Jitsu || Academia de Artes Marciales,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ_49ZfwC5BZER25WIUu0zge8,Dream Art San Juan,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ_x2r75vJBZERgmBgN_FrDIM,Dream Art San Miguel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ13qNn8TJBZERWbv_je4pbBw,ECO-L,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ8R-GFhDJBZERhtpx6oScBN4,El Dogo Training Center,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJPaZRdMPHBZER5ztEW3DODhQ,El Templo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJTQbQ2VbVBZERIvXW_Nrgoyw,Escuela búfalos MMA.(Artes marciales mixtas)en ventanilla Pachacutec incawasi.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJjY4SOaZ1BZERRHxcdzy-H4Y,Escuela de artes marciales | Adamu MMA | Chilca,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJBTqvMrvOBZERKOlujH1mxM8,Escuela De Combate RUMBLE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ__8gaBnJBZERMs5FSMPbsFg,ESCUELA DE JIUJITSU CARLSON GRACIE TEAM PERÚ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ3ca_7GfOBZER0kYN24RJ7KY,Escuela Pitbull Artes Marciales Mixtas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ4d2EXxbRBZER_xbi4ogLMxU,Extreme Gym,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJq4XJ2-nPBZERtqn6GDsB-cQ,FAT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJfWAsKx_IBZERt1ZX_T0dxT4,Fight Academy Miraflores,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJqSHozRjIBZERtbsnNkuMfng,Fight & Fitness,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ-Y9xE8PFBZERYnNQ_wmVuXg,Fight Club Shogun Escuela de artes marciales mixtas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJa1MpRMDPBZER3Zq-EXTKhP8,Fighters Factory - Artes Marciales y Defensa Personal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJNwNYneXPBZERvnx_1rWKLmQ,fox academy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJAQXOKwvNBZERqF_wMqqlaZc,francopedrozamma,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJKesXee25BZERRTPN-SaAGX4,FudoZen Jiu Jitsu - Taurus BJJ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ1YpSKgDJBZERKDmUGecW1nQ,Galera Bjj,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJqT3IfADFBZERiGYMI6Qk8xc,Samurái Ate Vitarte BJJ Galpón Fight Club MMA JIUJITSU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJEXuVY_i3BZER08CWMOYLlzA,Gaman Perú,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJEXKqbTO3BZER3euLTELXG_U,Game Fight Chorrillos,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJXfqFUWXHBZERBCWUtdh8OzA,Gentle Art Training Center,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJA-eyd8bIBZERzlDlMoT-BUo,Gimnasio Club Apolo Gym,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJOfVTLj_JBZERTUyB_kKhYnc,Gracie Barra San Miguel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJJ-HrgETHBZERj90CNmOWPh4,Guigo Jiu Jitsu Surco,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJo5dfznG7BZERUKPgRmSt_tE,Herreras Fight Center,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJIxkhu37HBZEROfIG-FHuJYM,Hippo BJJ Jiujitsu Perú | Academia de Artes Marciales,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJuSGxkgrRBZER1xdiRMDhh04,IF ACADEMY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJzwKq4Mi5BZER0d4ZhuG1mXA,INTI WALLA PERU,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJN5ZmqUjDBZERfg6CAsw_DIk,jabali jiu jitsu,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ_7g9iXnHBZERhEl77cpDon4,Japanese ju jitsu academy - Cobra kai peruano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJk8SzSkDOBZERCTZ3zE24RQw,JUNGLE FIGHTING CENTER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJN3QsxCbPBZERgR2YabPmQbA,JUNGLE FIGHTING CENTER SEDE HUANDOY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJVTkYBQy4BZER8Lrs_Th1Gyg,Kami Martial Arts,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJb35O-MG5BZER0gm5vyGT7yY,Klandestino Jiujitsu Villa el Salvador,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJKaKtOJLTBZERIcXehVZ4ODk,Knockouts Training Center,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJl8KifKTVBZERAZzwbANiMV4,kTC - Escuela de Artes Marciales Mixtas,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJN9wzg_zRBZERNZr_IawriMM,La Casa de Batiatus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChIJ978EWfa5BZERiREZ7hbxVA0,LA GRANJA BJJ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
